,buy_time,comment_time,days,color,size,content,score,sentiment
0,2021-12-06 11:55:30,2021-12-15 07:44:57,9,灵越高性能轻薄办公本,11代i5 16G 512G MX350 银,质量特别差，朋友门千万不要买，我说的是真心话，系统特别卡，看视频都卡的不要不要的了，是水货不是正品，还不让退货也不让换呢，千万不要买。。,1,0
1,2021-11-22 00:34:29,2021-12-14 23:44:52,22,灵越高性能轻薄办公本,11代i7 16G 512G 锐炬Xe显卡 银,宝贝收到了，使用了一段时间，感觉不错孩子喜欢,5,1
2,2021-12-12 16:13:02,2021-12-14 22:17:36,2,灵越高性能轻薄办公本,11代i5 16G 512G MX350 银,一如既往的好！,5,1
3,2021-12-12 10:48:37,2021-12-14 21:16:13,2,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,关注了很长时间，双十二果断下单。给儿子买的，孩子喜欢。电脑是银色的，外观大气。电脑反应速度快。第一天下单的，第二天就收到货了。,5,1
4,2021-12-12 20:18:19,2021-12-14 19:09:33,2,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,别的都好，就是这个续航真是一言难尽，听着音乐，浏览一下网页，只能坚持不到2小时。,5,0
5,2021-11-04 17:35:23,2021-12-14 16:17:29,40,升级CPU!灵越15Pro防蓝光本,11代i5标压 512G 锐炬Xe显卡 银,样子漂亮，送货快，电脑速度也不错。,5,1
6,2021-12-12 16:02:20,2021-12-14 15:08:51,2,升级CPU!灵越15Pro防蓝光本,11代i7标压 512G 锐炬Xe显卡 银,大品牌，正品，质量超赞，运行速度特别快，屏幕显示效果也很棒,5,1
7,2021-09-27 00:06:50,2021-12-14 14:58:39,78,爆款灵越性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡,此用户未及时填写评价内容,1,1
8,2021-11-17 11:36:12,2021-12-14 14:43:40,27,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,一直都相信京东，希望京东守住底线，不要让大家失望，不要学~门槛太低有钱啥人都可以开店,4,0
9,2021-12-07 20:26:23,2021-12-14 14:22:31,7,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,"重量很轻，窄边框也是颜值在线，预装了win 11,运行和传输速度都很快，习惯了居然还觉得挺好用，办公用足够了。",5,1
10,2021-11-08 06:17:23,2021-12-14 13:43:37,36,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,散热性能：刚开机一分钟烫的就可以摊鸡蛋了，散热一点也不好,2,0
11,2021-12-12 00:04:36,2021-12-14 13:38:35,2,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,双十二买的优惠很大，昨晚到货开始用了一直用戴尔，挺不错的 推荐呀 有些不懂客服耐心讲解,5,1
12,2021-12-12 13:18:23,2021-12-14 13:36:50,2,灵越高性能轻薄办公本,11代i5 16G 512G MX350 银,下单后2天送到，开机使用还不错,5,1
13,2021-12-12 14:37:17,2021-12-14 12:46:28,2,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,12.12号下单，13号就收到了，给上大学的儿子买的，娃说挺好的，银色高端大气，运行流畅，屏幕色彩也非常清晰，值得拥有，推荐给大家！,5,1
14,2021-12-11 20:22:53,2021-12-14 12:39:38,3,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,啊呀呀，阿丫丫，到手了,5,0
15,2021-12-11 22:42:27,2021-12-14 12:38:51,3,灵越高性能轻薄办公本,11代i7 16G 512G 锐炬Xe显卡 银,电脑??到手啦！服务到位,5,1
16,2021-12-11 22:25:17,2021-12-14 12:36:37,3,升级CPU!灵越15Pro防蓝光本,11代i7标压 512G 锐炬Xe显卡 银,dell电脑外观时尚，最新win11系统，速度快，声音轻，包装好送货快。,5,1
17,2021-12-13 18:00:25,2021-12-14 12:27:11,1,灵越高性能轻薄办公本,11代i5 16G 512G MX350 银,满意,5,1
18,2021-12-11 20:39:53,2021-12-14 12:15:02,3,灵越高性能轻薄办公本,11代i5 16G 512G MX350 银,大气，反应快，散热功能好，晚上买的第二天中午就收到货了，给商家点赞?????,5,1
19,2021-12-11 18:01:34,2021-12-14 11:55:34,3,升级CPU!灵越15Pro防蓝光本,11代i5标压 512G 锐炬Xe显卡 银,笔记本很惊艳呢，试了一个速度很快运行流程Windows11系统非常好用呢，喜欢的亲们赶紧入手呢！,5,1
20,2021-12-09 19:19:32,2021-12-14 11:43:43,5,升级CPU!灵越15Pro防蓝光本,11代i7标压 16G 512G MX450 银,货已收到，质量非常好，价廉物美，请大家放心购买。,5,1
21,2021-12-05 14:38:22,2021-12-14 11:33:07,9,升级CPU!灵越15Pro防蓝光本,11代i7标压 16G 512G MX450 银,因为疫情一直在上网课，平板还是有点小，伤眼睛，所以想要买台电脑，挑来挑去还是买的戴尔，毕竟之前的戴尔电脑用了很久也挺好用，用了几天使用感还不错,5,1
22,2021-12-06 21:48:29,2021-12-14 11:03:59,8,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,这个笔记本电脑非常漂亮，运行也非常流畅，色彩丰富，很喜欢,5,1
23,2021-12-11 20:05:44,2021-12-14 10:55:36,3,灵越高性能轻薄办公本,11代i5 16G 512G MX350 银,运行速度：速度一般屏幕效果：还行散热性能：不太好，上部比较烫手。外形外观：不错轻薄程度：可以                   。                   。,3,1
24,2021-10-12 10:03:37,2021-12-14 10:17:01,63,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,这款电脑感觉很一般，自带的软件用起来网速非常慢，而且很多都是没有用的，第一次还发了一台有问题的机子，后面申请了马上换了台新机，客服态度也不错。很好,4,0
25,2021-11-24 23:05:54,2021-12-14 10:16:45,20,升级CPU!灵越15Pro防蓝光本,11代i5标压 512G 锐炬Xe显卡 银,是我喜欢的颜色和外观，颜色好看，15寸也不显笨重。不错。,5,1
26,2021-12-12 11:48:36,2021-12-14 08:58:23,2,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,满心期待的笔记本终于到手了，屏幕清晰，防蓝光效果好，键盘回弹好，运行速度快。,5,1
27,2021-11-11 10:34:47,2021-12-14 08:23:45,33,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,现在用起来非常好。开机非常快，然后运行速度非常快。价格4600元，以前的电脑就非常慢，但是打印软件还没安装上，希望一切使用顺利,5,1
28,2021-12-09 00:00:16,2021-12-14 08:21:55,5,灵越高性能轻薄办公本,11代i5 8G 512G MX350 银,很赞，质量很好，速度超快！好评,5,1
29,2021-12-07 14:54:39,2021-12-14 08:14:38,7,升级CPU!灵越15Pro防蓝光本,11代i7标压 16G 512G MX450 银,"除了接口不够丰富,需要外接扩展口以外,其他方面都好评&hellip;虽然不是性价比最高的&hellip;整体非常满意&hellip;",5,1
30,2021-12-11 22:01:47,2021-12-14 05:58:31,3,升级CPU!灵越15Pro防蓝光本,11代i7标压 512G 锐炬Xe显卡 银,买这个商务之前我是有看过好几家店，最后看到这家店的评价不错就决定在这家店买 收到快递后迫不及待的拆了包装。商务我真的是非常喜欢大家可以买来试一试，真的是太爽了，一晚上都沉浸在爽之中,5,1
31,2021-12-12 01:15:59,2021-12-13 22:53:23,1,升级CPU!灵越15Pro防蓝光本,11代i7标压 16G 512G MX450 银,运行速度挺快，开机运行流畅 ，不错的一次购物,5,1
32,2021-12-11 20:09:42,2021-12-13 22:12:29,2,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,看起来真的不错，用着也很舒服，很帅气的感觉，用一段期间回来追评,5,1
33,2021-10-25 20:16:08,2021-12-13 21:33:46,49,升级CPU!灵越15Pro防蓝光本,11代i5标压 512G 锐炬Xe显卡 银,很奈斯的一款笔记本，外观很漂亮，质感也是超级好的呀，开机真是超级快，可以说是秒开了，触控板也是超级大，非常的方便，真是很舒服呀，物流也超级快。,5,1
34,2021-11-26 07:36:05,2021-12-13 21:31:15,17,灵越高性能轻薄办公本,11代i5 8G 512G MX350 银,平心而论一般，风扇声音太大了，使用体验极差，这个本别玩游戏，只能办公，唉，激活了不能退。,2,0
35,2021-12-12 08:21:16,2021-12-13 21:23:29,1,灵越高性能轻薄办公本,11代i7 16G 512G 锐炬Xe显卡 银,物流没得说，电脑还没有正式用不好评价。,5,1
36,2021-12-12 22:39:13,2021-12-13 21:12:22,1,升级CPU!灵越15Pro防蓝光本,11代i7标压 512G 锐炬Xe显卡 银,选了好几个品牌，终于选到满意的了，颜值和性能都不错，性价比很高。,5,1
37,2021-12-02 18:46:15,2021-12-13 20:28:59,11,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,还可以，没什么大的问题，用了一个星期了,5,1
38,2021-12-12 21:06:55,2021-12-13 19:46:49,1,升级CPU!灵越15Pro防蓝光本,11代i7标压 16G 512G MX450 银,目前用起来可以，外观好看,5,1
39,2021-11-10 20:00:12,2021-12-13 19:41:34,33,升级CPU!灵越15Pro防蓝光本,11代i5标压 512G 锐炬Xe显卡 银,京东购买有保障，已经购买七八个电脑了，家人朋友都会选择京东,5,1
40,2021-11-11 00:10:31,2021-12-13 19:25:36,32,灵越高性能轻薄办公本,11代i7 16G 512G 锐炬Xe显卡 银,新机器，关不了机！前前后后关了不下20次&hellip;&hellip;只能说买了一个垃圾！,1,0
41,2021-10-03 00:02:10,2021-12-13 18:27:44,71,爆款灵越性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡,此用户未及时填写评价内容,1,1
42,2021-12-07 19:03:24,2021-12-13 18:21:43,6,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,才买的电脑，发现开机有异响，且键盘卡键不好使用，因为着急用电脑不方便退换，只能自己吃亏了。散热性能：电脑开机异响,1,0
43,2021-12-12 07:07:01,2021-12-13 18:18:35,1,升级CPU!灵越15Pro防蓝光本,11代i5标压 512G 锐炬Xe显卡 银,上下键太小，不太好用。SD卡插口塑料件变形，还没插过卡，不知道有没有影响。触摸板貌似没找到右键的位置，或许没有？比较轻薄，这点挺好。,3,1
44,2021-12-09 07:48:00,2021-12-13 18:07:56,4,灵越高性能轻薄办公本,11代i7 16G 512G 锐炬Xe显卡 银,蹲双十二还是有些优惠的希望下次送无线鼠标送鼠标垫总要全套才更方便呀买了两台，送货还是分了两个区时间有点久京东其他送货还蛮快,5,1
45,2021-12-12 12:12:30,2021-12-13 17:51:56,1,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,第一次购买戴尔笔记本 冲着屏幕买的 一直听说屏幕是电脑界的天花板 确实看着很舒服 开机速度也快,5,1
46,2021-11-25 10:53:01,2021-12-13 17:26:25,18,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,"买来公司使用,小键盘大爱,使用人很满意&hellip;收到货就重装了系统,一堆公司软件,并接入公司域网络,完美使用&hellip;美中不足的一点就是接口没有原先3501型号的多,很多东西需要外接扩展&hellip;",5,1
47,2021-12-12 20:02:45,2021-12-13 15:50:32,1,升级CPU!灵越15Pro防蓝光本,11代i5标压 512G 锐炬Xe显卡 银,简单但是让人觉得舒适的外观，客服也很热情，积极回答我的问题,5,1
48,2021-12-11 18:25:34,2021-12-13 15:40:26,2,升级CPU!灵越15Pro防蓝光本,11代i5标压 512G 锐炬Xe显卡 银,这款笔记本外观时尚，各项功能都是我想要的。待试机。赠送了一个无线鼠标。,5,1
49,2021-10-21 19:34:58,2021-12-13 15:36:41,53,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,开机很快，性能对于学生党来说不玩游戏完全够用，性价比很高，还是很喜欢的,5,1
50,2021-12-11 20:00:12,2021-12-13 15:18:37,2,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,刚使用就卡，不是很喜欢,2,0
51,2021-10-20 00:00:12,2021-12-13 15:13:17,54,升级CPU!灵越15Pro防蓝光本,11代i7标压 16G 512G MX450 银,非常满意，戴尔值得信赖，,5,1
52,2021-12-12 10:19:28,2021-12-13 15:05:51,1,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,外观高颜值，太爱了，买了两台，一个有独享一个集显，都很不错,5,1
53,2021-12-11 20:01:17,2021-12-13 14:59:52,2,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,双11的时候买了一台，感觉还不错，双12我又买了一台，用的好的话，以后会陆续介绍给别人，希望你们的电脑越做越好哟,5,1
54,2021-12-01 22:20:36,2021-12-13 14:33:56,12,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,不太满意，因为之前也是用的戴尔，所以这次也选择它！但是，这次的体验感极差，用了还没一周就开始卡，而且鼠标还坏了，挺无语的，不会再有下次了！,1,0
55,2021-12-09 17:08:20,2021-12-13 14:18:55,4,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,用着不错，4599忘了领优惠券，失误,5,1
56,2021-12-06 08:23:10,2021-12-13 13:19:39,7,灵越高性能轻薄办公本,11代i5 8G 512G MX350 银,不错不错不错，挺好挺好，性能也不错,5,1
57,2021-12-11 20:00:08,2021-12-13 13:10:24,2,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,物流很快,5,1
58,2021-11-10 21:02:33,2021-12-13 12:45:34,33,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,运行速度：目前很不错屏幕效果：色彩缤纷散热性能：不是太好,5,1
59,2021-12-09 08:13:06,2021-12-13 12:37:52,4,灵越高性能轻薄办公本,11代i7 16G 512G MX350 银,电脑开机速度还是挺快的,5,1
60,2021-10-31 19:27:21,2021-12-13 12:29:30,43,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,DELL的笔记本，用过4台了，平民电脑性价比高！,5,1
61,2021-11-06 13:26:53,2021-12-13 12:26:44,37,升级CPU!灵越15Pro防蓝光本,11代i7标压 16G 512G MX450 银,质量很好，配置高，用着不卡，挺好的，送鼠标也好用，质量很好，配置高，用着不卡，挺好的，买回来就用了，很满意。颜色款式都很满意,5,1
62,2021-12-09 07:50:06,2021-12-13 11:30:02,4,灵越高性能轻薄办公本,11代i7 16G 512G 锐炬Xe显卡 银,蹲双十二的优惠，便宜了几百块送了鼠标和电脑包建议下次再送个鼠标垫鼠标也送无限的才对快递送来箱子都破损了，还好电脑没任何问题,5,1
63,2021-12-12 15:57:31,2021-12-13 11:27:14,1,升级CPU!灵越15Pro防蓝光本,11代i7标压 16G 512G MX450 银,很棒很不错,5,1
64,2021-12-11 20:00:22,2021-12-13 10:27:33,2,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,装机的时候，出了一点小故障，客服帮忙解决。用起的时候稍微反应没得那么灵敏，还不确定是网络问题还是电脑问题。总体没有问题。,5,0
65,2021-11-24 23:15:37,2021-12-13 09:15:41,19,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,程序员使用，性能足够，又轻便，值得推荐,5,1
66,2021-11-11 18:47:53,2021-12-13 08:45:24,32,升级CPU!灵越15Pro防蓝光本,11代i7标压 16G 512G MX450 银,喜欢的款式，使用方便。,5,1
67,2021-11-10 23:42:24,2021-12-13 04:39:45,33,灵越高性能轻薄办公本,11代i5 16G 512G 锐炬Xe显卡 银,一直喜欢戴尔笔记本，种草了许久，才来拔草，速度确实挺快，家中办公非常推荐，值得购买,5,1
68,2021-12-09 01:55:55,2021-12-13 02:06:34,4,灵越高性能轻薄办公本,11代i5 8G 512G MX350 银,这次买雕牌的电脑是第一次翻车，一是系统上的自提点，镖局的押师义正词严的喝斥那个站不接收暂存，要么我自己滚过去镖局取，要么改天再送。因为沟通问题押师又一次义正词严的质问我，无奈之下询问退货流程，不久便送到门口，申明他是没有一分钱的送件费完全是行侠仗义，这是京东的问题和我无关。再下来还是延续一贯操作，把原配的8g小内存取下加满再激活，冷开机十秒，但接下来又翻车，系统不停的发出u盘插入和拔出的那种声音，有规律的无限循环，直觉可能是固态硬盘的事，用抽屉里的三星盘把原机的硬特二替换，一切恢复正常。原来的那个固态盘只能放到其他机上做**盘了，我不是科学家无法探究什么原因，反正这牌子的固态盘一定有问题必须远离，还是专心做cpu好了。另外，吐槽电脑卡的朋友，不换掉和加大内存确实开机就卡，把内存加到16或者32会单车变摩托。,5,0
69,2021-10-27 21:20:39,2021-12-13 01:50:36,47,灵越高性能轻薄办公本,11代i5 16G 512G MX350 银,整体来看的话，颜值很高，好看。手感很好，很舒服，按键也很灵敏，屏幕大小合适。配置不错，i5的处理器，独显，但是内存有点小，usb接口也比较少，如果能多一个就好了,4,1
70,2021-11-26 22:35:37,2021-12-12 23:22:11,16,升级CPU!灵越15Pro防蓝光本,11代i5标压 16G 512G MX450 银,挺好用的，重量不算重，用来办公非常合适,5,1
